oferta,recamaras,bathrooms,mts,lat,lon,fecha_consulta,fuente,precio,precio_m2,cvegeo,cve_ent,cve_mun,nom_mun,tipo,tipo_vivi
loft en renta en argentina,1.0,1.0,180.0,25.691049,-100.284552,2025-05-05 17:25:47.268265,lamudi,8000.0,44.44444444444444,19039,19,039,Monterrey,renta,vertical
casa en renta en cumbres elite,2.0,2.0,,25.74509353,-100.40640436,2025-05-05 17:25:47.268265,lamudi,21500.0,,19039,19,039,Monterrey,renta,horizontal
departamento en renta en cumbres elite,1.0,1.0,40.0,25.74420234,-100.42858556,2025-05-05 17:25:47.268265,lamudi,17500.0,437.5,19039,19,039,Monterrey,renta,vertical
departamento en renta en miravalle,2.0,2.0,89.0,25.671893,-100.368738,2025-05-05 17:25:47.268265,lamudi,39800.0,447.1910112359551,19039,19,039,Monterrey,renta,vertical
departamento en renta en miravalle,1.0,1.0,55.0,25.669964,-100.367638,2025-05-05 17:25:47.268265,lamudi,21000.0,381.8181818181818,19039,19,039,Monterrey,renta,vertical
departamento en renta en monterrey centro,3.0,2.0,135.0,25.596595,-100.259824,2025-05-05 17:25:47.268265,lamudi,36000.0,266.6666666666667,19039,19,039,Monterrey,renta,vertical
departamento en renta en residencial dinastia,2.0,2.0,150.0,25.699292,-100.374836,2025-05-05 17:25:47.268265,lamudi,30000.0,200.0,19039,19,039,Monterrey,renta,vertical
casa en fraccionamiento en renta en bosques de las cumbres,3.0,5.0,250.0,25.7275882,-100.3992364,2025-05-05 17:25:47.268265,lamudi,35000.0,140.0,19039,19,039,Monterrey,renta,horizontal
departamento en renta en cumbres del valle,2.0,2.0,85.0,25.6728081,-100.3894697,2025-05-05 17:25:47.268265,lamudi,34000.0,400.0,19039,19,039,Monterrey,renta,vertical
departamento en renta en monterrey centro,2.0,2.0,110.0,25.6728885,-100.2995419,2025-05-05 17:25:47.268265,lamudi,30000.0,272.72727272727275,19039,19,039,Monterrey,renta,vertical
departamento en renta en torremolinos,1.0,1.0,60.0,25.637485,-100.2750207,2025-05-05 17:25:47.268265,lamudi,20000.0,333.3333333333333,19039,19,039,Monterrey,renta,vertical
departamento en renta en contry,2.0,2.0,180.0,25.6280842,-100.2749097,2025-05-05 17:25:47.268265,lamudi,25000.0,138.88888888888889,19039,19,039,Monterrey,renta,vertical
departamento en renta en torremolinos,1.0,1.0,200.0,25.636752,-100.2755899,2025-05-05 17:25:47.268265,lamudi,25000.0,125.0,19039,19,039,Monterrey,renta,vertical
departamento en renta en cooperativa cuauhtemoc,1.0,1.0,87.0,25.674058,-100.3753052,2025-05-05 17:25:47.268265,lamudi,24000.0,275.86206896551727,19039,19,039,Monterrey,renta,vertical
departamento en renta en monterrey centro,2.0,2.0,84.0,25.580425,-100.254877,2025-05-05 17:25:47.268265,lamudi,35000.0,416.6666666666667,19039,19,039,Monterrey,renta,vertical
